Position (m),Velocity (m/s),Acceleration (m/s²),Time (s)
0.1426,-0.0075,1.4971,3.95
0.1443,0.0665,1.4107,4
0.1492,0.1336,1.2734,4.05
0.1576,0.1938,1.0512,4.1
0.1686,0.2387,0.674,4.15
0.1815,0.2612,0.2445,4.2
0.1947,0.2631,-0.1325,4.25
0.2078,0.248,-0.5274,4.3
0.2195,0.2104,-0.9067,4.35
0.2288,0.1573,-1.1654,4.4
0.2353,0.0939,-1.3734,4.45
0.2382,0.02,-1.497,4.5
0.2373,-0.0558,-1.4479,4.55
0.2327,-0.1248,-1.2771,4.6
0.2248,-0.1835,-1.0547,4.65
0.2143,-0.2303,-0.7459,4.7
0.2017,-0.2581,-0.3321,4.75
0.1885,-0.2635,0.0823,4.8
0.1754,-0.2499,0.4617,4.85
0.1635,-0.2173,0.8414,4.9
0.1537,-0.1658,1.1524,4.95
0.1469,-0.1021,1.3244,5
0.1434,-0.0333,1.4449,5.05
0.1436,0.0424,1.4628,5.1
0.1477,0.113,1.2907,5.15
0.1549,0.1715,1.0675,5.2
0.1648,0.2197,0.7936,5.25
0.1769,0.2508,0.4167,5.3
0.1899,0.2614,-0.0123,5.35
0.203,0.2496,-0.4249,5.4
0.2149,0.2189,-0.7686,5.45
0.2249,0.1727,-1.0792,5.5
0.2321,0.111,-1.305,5.55
0.236,0.0422,-1.3926,5.6
0.2364,-0.0283,-1.412,5.65
0.2332,-0.099,-1.3285,5.7
0.2265,-0.1611,-1.1062,5.75
0.217,-0.2096,-0.7969,5.8
0.2055,-0.2408,-0.4353,5.85
0.193,-0.2531,-0.0386,5.9
0.1802,-0.2447,0.3587,5.95
0.1685,-0.2172,0.6874,6
0.1585,-0.1759,0.8752,6.05
0.1509,-0.1297,1.2535,6.1
0.1455,-0.0506,1.6191,6.15
0.1458,0.0322,1.3949,6.2
0.1487,0.0889,1.1521,6.25
0.1547,0.1474,1.0847,6.3
0.1635,0.1974,0.8279,6.35
0.1745,0.2302,0.4674,6.4
0.1865,0.2441,0.1074,6.45
0.1989,0.2409,-0.2701,6.5
0.2106,0.2171,-0.6483,6.55
0.2206,0.1761,-0.9759,6.6
0.2282,0.1195,-1.2187,6.65
0.2325,0.0542,-1.3235,6.7
0.2336,-0.0128,-1.36,6.75
0.2312,-0.0818,-1.2937,6.8
0.2254,-0.1422,-1.0882,6.85
0.217,-0.1906,-0.831,6.9
0.2064,-0.2253,-0.4868,6.95
0.1945,-0.2393,-0.1072,7
0.1824,-0.236,0.2549,7.05
0.1709,-0.2138,0.6175,7.1
0.1611,-0.1743,0.9119,7.15
0.1535,-0.1226,1.0146,7.2
0.1488,-0.0728,1.1488,7.25
0.1462,-0.0077,1.6338,7.3
0.148,0.0906,1.6388,7.35
0.1552,0.1562,0.965,7.4
0.1636,0.1871,0.6368,7.45
0.1739,0.2198,0.5016,7.5
0.1856,0.2372,0.1588,7.55
0.1977,0.2357,-0.2186,7.6
0.2092,0.2154,-0.5971,7.65
0.2192,0.176,-0.9074,7.7
0.2268,0.1246,-1.1321,7.75
0.2317,0.0628,-1.2888,7.8
0.2331,-0.0043,-1.3425,7.85
0.2312,-0.0714,-1.2933,7.9
0.2259,-0.1336,-1.1053,7.95
0.2179,-0.182,-0.8476,8
0.2077,-0.2184,-0.5557,8.05
0.196,-0.2375,-0.1764,8.1
0.184,-0.236,0.2033,8.15
0.1724,-0.2172,0.5483,8.2
0.1623,-0.1812,0.8762,8.25
0.1543,-0.1296,1.1179,8.3
0.1493,-0.0694,1.2555,8.35
0.1474,-0.004,1.3418,8.4
0.1489,0.0648,1.3081,8.45
0.1539,0.1268,1.119,8.5
0.1616,0.1767,0.8788,8.55
0.1715,0.2147,0.5876,8.6
0.1831,0.2355,0.2274,8.65
0.1951,0.2374,-0.1504,8.7
0.2068,0.2204,-0.494,8.75
0.2171,0.188,-0.8034,8.8
0.2256,0.1401,-1.0971,8.85
0.2311,0.0783,-1.2888,8.9
0.2334,0.0112,-1.3253,8.95
0.2323,-0.0542,-1.2579,9
0.228,-0.1146,-1.1388,9.05
0.2208,-0.1681,-0.9511,9.1
0.2112,-0.2097,-0.6419,9.15
0.1998,-0.2323,-0.2623,9.2
0.188,-0.2359,0.0827,9.25
0.1762,-0.2241,0.4273,9.3
0.1655,-0.1932,0.7898,9.35
0.1569,-0.1451,1.0662,9.4
0.151,-0.0866,1.2214,9.45
0.1483,-0.0229,1.2903,9.5
0.1487,0.0424,1.2733,9.55
0.1525,0.1044,1.1532,9.6
0.1592,0.1578,0.9472,9.65
0.1683,0.1991,0.6905,9.7
0.1791,0.2268,0.3477,9.75
0.191,0.2339,-0.0475,9.8
0.2025,0.2221,-0.3908,9.85
0.2132,0.1948,-0.7176,9.9
0.222,0.1503,-1.0114,9.95
0.2282,0.0937,-1.1848,10
0.2313,0.0318,-1.2726,10.05
0.2314,-0.0336,-1.2749,10.1
0.228,-0.0957,-1.156,10.15
0.2218,-0.1492,-0.9506,10.2
0.2131,-0.1907,-0.6755,10.25
0.2027,-0.2167,-0.3657,10.3
0.1914,-0.2273,-0.0212,10.35
0.18,-0.2189,0.3586,10.4
0.1695,-0.1914,0.6868,10.45
0.1609,-0.1502,0.9282,10.5
0.1545,-0.0986,1.1179,10.55
0.151,-0.0384,1.2212,10.6
0.1506,0.0235,1.256,10.65
0.1534,0.0872,1.1709,10.7
0.1594,0.1406,0.93,10.75
0.1674,0.1802,0.69,10.8
0.1774,0.2096,0.3989,10.85
0.1884,0.2201,0.0381,10.9
0.1994,0.2134,-0.2879,10.95
0.2097,0.1913,-0.6144,11
0.2185,0.152,-0.9253,11.05
0.2249,0.0988,-1.1165,11.1
0.2284,0.0403,-1.1691,11.15
0.229,-0.0181,-1.1873,11.2
0.2266,-0.0784,-1.1729,11.25
0.2211,-0.1354,-0.9852,11.3
0.2131,-0.1769,-0.6925,11.35
0.2034,-0.2047,-0.3999,11.4
0.1926,-0.2169,-0.0724,11.45
0.1817,-0.2119,0.255,11.5
0.1714,-0.1914,0.6001,11.55
0.1626,-0.1519,0.8939,11.6
0.1562,-0.102,1.0661,11.65
0.1524,-0.0453,1.1868,11.7
0.1517,0.0167,1.2217,11.75
0.1541,0.0769,1.136,11.8
0.1594,0.1303,0.9645,11.85
0.1671,0.1733,0.7243,11.9
0.1767,0.2027,0.4328,11.95
0.1874,0.2166,0.1072,12
0.1984,0.2134,-0.2534,12.05
0.2087,0.1913,-0.5979,12.1
0.2175,0.1536,-0.8565,12.15
0.2241,0.1056,-1.0466,12.2
0.2281,0.049,-1.1862,12.25
0.229,-0.013,-1.2053,12.3
0.2268,-0.0716,-1.1205,12.35
0.2218,-0.125,-0.9842,12.4
0.2143,-0.17,-0.7616,12.45
0.2048,-0.2012,-0.4518,12.5
0.1941,-0.2152,-0.1067,12.55
0.1833,-0.2119,0.2037,12.6
0.173,-0.1948,0.5137,12.65
0.1638,-0.1605,0.8419,12.7
0.1569,-0.1106,1.0493,12.75
0.1527,-0.0556,1.135,12.8
0.1513,0.0029,1.2042,12.85
0.153,0.0648,1.1705,12.9
0.1578,0.1199,0.9987,12.95
0.165,0.1647,0.7757,13
0.1743,0.1975,0.5017,13.05
0.1848,0.2149,0.1584,13.1
0.1958,0.2133,-0.1854,13.15
0.2061,0.1963,-0.4774,13.2
0.2154,0.1656,-0.7525,13.25
0.2227,0.1211,-1.0119,13.3
0.2275,0.0644,-1.1689,13.35
0.2291,0.0042,-1.1873,13.4
0.228,-0.0543,-1.1548,13.45
0.2237,-0.1113,-1.0186,13.5
0.2168,-0.1562,-0.7952,13.55
0.2081,-0.1908,-0.555,13.6
0.1978,-0.2117,-0.2279,13.65
0.1869,-0.2136,0.1346,13.7
0.1764,-0.1982,0.4452,13.75
0.1671,-0.1691,0.7211,13.8
0.1595,-0.1261,0.9629,13.85
0.1545,-0.0728,1.1008,13.9
0.1522,-0.016,1.1696,13.95
0.1529,0.0442,1.1703,14
0.1566,0.101,1.033,14.05
0.163,0.1475,0.827,14.1
0.1714,0.1837,0.5874,14.15
0.1813,0.2062,0.2614,14.2
0.192,0.2099,-0.0822,14.25
0.2023,0.198,-0.3914,14.3
0.2118,0.1707,-0.6843,14.35
0.2194,0.1296,-0.9084,14.4
0.2248,0.0799,-1.0819,14.45
0.2274,0.0214,-1.1702,14.5
0.2269,-0.0371,-1.1198,14.55
0.2237,-0.0906,-1.0176,14.6
0.2179,-0.1389,-0.8642,14.65
0.2098,-0.177,-0.6067,14.7
0.2002,-0.1996,-0.2795,14.75
0.1898,-0.2049,0.0658,14.8
0.1797,-0.193,0.3592,14.85
0.1705,-0.169,0.6176,14.9
0.1628,-0.1312,0.8766,14.95
0.1574,-0.0813,1.0319,15
0.1546,-0.0281,1.118,15.05
0.1546,0.0305,1.1359,15.1
0.1577,0.0855,1.016,15.15
0.1632,0.1321,0.8099,15.2
0.1709,0.1665,0.5695,15.25
0.1798,0.189,0.3123,15.3
0.1898,0.1978,0.0208,15.35
0.1996,0.1911,-0.2882,15.4
0.2089,0.1689,-0.5982,15.45
0.2165,0.1313,-0.8399,15.5
0.222,0.085,-0.9956,15.55
0.225,0.0317,-1.1004,15.6
0.2252,-0.0251,-1.1196,15.65
0.2225,-0.0803,-1.0181,15.7
0.2172,-0.1269,-0.812,15.75
0.2098,-0.1615,-0.5884,15.8
0.201,-0.1857,-0.348,15.85
0.1912,-0.1963,-0.0377,15.9
0.1814,-0.1895,0.2727,15.95
0.1722,-0.169,0.5659,16
0.1645,-0.1329,0.825,16.05
0.159,-0.0865,0.9801,16.1
0.1558,-0.0349,1.0835,16.15
0.1555,0.0219,1.1187,16.2
0.158,0.0769,1.0157,16.25
0.1632,0.1234,0.844,16.3
0.1704,0.1613,0.6386,16.35
0.1793,0.1873,0.3468,16.4
0.1891,0.196,0.0379,16.45
0.1989,0.1911,-0.2713,16.5
0.2082,0.1689,-0.5643,16.55
0.2158,0.1347,-0.7705,16.6
0.2217,0.0918,-0.9782,16.65
0.225,0.0368,-1.1008,16.7
0.2253,-0.0182,-1.0847,16.75
0.2231,-0.0716,-1.0172,16.8
0.2182,-0.1199,-0.8808,16.85
0.2112,-0.1597,-0.6579,16.9
0.2022,-0.1857,-0.365,16.95
0.1926,-0.1962,-0.0722,17
0.1826,-0.193,0.2382,17.05
0.1733,-0.1724,0.5316,17.1
0.1653,-0.1398,0.7731,17.15
0.1593,-0.0951,0.9631,17.2
0.1558,-0.0435,1.0492,17.25
0.155,0.0098,1.0837,17.3
0.1568,0.0649,1.0502,17.35
0.1614,0.1148,0.8785,17.4
0.1683,0.1527,0.6551,17.45
0.1767,0.1803,0.4323,17.5
0.1863,0.196,0.1583,17.55
0.1963,0.1962,-0.1678,17.6
0.206,0.1792,-0.4949,17.65
0.2142,0.1467,-0.7535,17.7
0.2206,0.1038,-0.9439,17.75
0.2246,0.0523,-1.0486,17.8
0.2259,-0.001,-1.0667,17.85
0.2245,-0.0544,-1.0513,17.9
0.2204,-0.1062,-0.9324,17.95
0.2139,-0.1476,-0.7092,18
0.2057,-0.1771,-0.4512,18.05
0.1962,-0.1927,-0.1582,18.1
0.1864,-0.1929,0.135,18.15
0.1769,-0.1792,0.4107,18.2
0.1685,-0.1518,0.6867,18.25
0.1617,-0.1106,0.9114,18.3
0.1574,-0.0607,1.0148,18.35
0.1557,-0.0091,1.0666,18.4
0.1565,0.046,1.05,18.45
0.1602,0.0959,0.9125,18.5
0.1661,0.1372,0.7412,18.55
0.174,0.17,0.5012,18.6
0.1831,0.1873,0.2096,18.65
0.1927,0.191,-0.0996,18.7
0.2022,0.1774,-0.3923,18.75
0.2104,0.1517,-0.6156,18.8
0.2173,0.1158,-0.8399,18.85
0.222,0.0678,-1.0136,18.9
0.2241,0.0145,-1.067,18.95
0.2235,-0.0389,-1.0165,19
0.2202,-0.0872,-0.9144,19.05
0.2148,-0.1304,-0.7435,19.1
0.2072,-0.1616,-0.485,19.15
0.1986,-0.1789,-0.2442,19.2
0.1893,-0.186,0.031,19.25
0.18,-0.1758,0.3591,19.3
0.1717,-0.1501,0.6183,19.35
0.165,-0.114,0.7905,19.4
0.1603,-0.071,0.9455,19.45
0.1579,-0.0194,1.0498,19.5
0.1584,0.034,0.9982,19.55
0.1613,0.0804,0.8951,19.6
0.1664,0.1235,0.7586,19.65
0.1736,0.1563,0.501,19.7
0.1821,0.1736,0.2259,19.75
0.191,0.1789,-0.014,19.8
0.1999,0.1722,-0.2885,19.85
0.2082,0.15,-0.5813,19.9
0.2149,0.114,-0.8062,19.95
0.2196,0.0694,-0.9277,20
0.2219,0.0213,-0.9803,20.05
0.2217,-0.0286,-0.9818,20.1
0.219,-0.0769,-0.8969,20.15
0.2141,-0.1183,-0.7428,20.2
0.2072,-0.1512,-0.5369,20.25
0.1989,-0.172,-0.2788,20.3
0.19,-0.1791,0.0143,20.35
0.181,-0.1706,0.2902,20.4
0.1729,-0.15,0.5487,20.45
0.166,-0.1157,0.7907,20.5
0.1614,-0.071,0.9116,20.55
0.1589,-0.0245,0.963,20.6
0.1589,0.0253,0.998,20.65
0.1615,0.0753,0.9298,20.7
0.1664,0.1183,0.7583,20.75
0.1733,0.1511,0.5352,20.8
0.1815,0.1718,0.2779,20.85
0.1905,0.1789,0.0032,20.9
0.1994,0.1722,-0.2715,20.95
0.2077,0.1517,-0.5472,21
0.2146,0.1174,-0.7544,21.05
0.2194,0.0763,-0.8926,21.1
0.2222,0.0282,-0.9977,21.15
0.2223,-0.0235,-0.9817,21.2
0.2199,-0.07,-0.8963,21.25
0.2153,-0.1131,-0.7945,21.3
0.2086,-0.1494,-0.5887,21.35
0.2003,-0.172,-0.3133,21.4
0.1914,-0.1808,-0.0202,21.45
0.1822,-0.174,0.2559,21.5
0.174,-0.1552,0.4972,21.55
0.1667,-0.1243,0.7215,21.6
0.1615,-0.083,0.894,21.65
0.1584,-0.0349,0.9978,21.7
0.158,0.0168,0.998,21.75
0.1601,0.0649,0.9296,21.8
0.1645,0.1097,0.7925,21.85
0.1711,0.1442,0.5864,21.9
0.179,0.1684,0.3637,21.95
0.1879,0.1805,0.0892,22
0.197,0.1773,-0.2028,22.05
0.2056,0.1603,-0.4782,22.1
0.213,0.1294,-0.7025,22.15
0.2186,0.09,-0.8581,22.2
0.222,0.0436,-0.9625,22.25
0.2229,-0.0062,-0.9984,22.3
0.2214,-0.0562,-0.9482,22.35
0.2173,-0.1011,-0.8112,22.4
0.2113,-0.1373,-0.64,22.45
0.2036,-0.1651,-0.3995,22.5
0.1948,-0.1773,-0.1062,22.55
0.1859,-0.1757,0.1524,22.6
0.1772,-0.162,0.4109,22.65
0.1696,-0.1346,0.6526,22.7
0.1638,-0.0968,0.8251,22.75
0.16,-0.0521,0.9459,22.8
0.1586,-0.0022,0.998,22.85
0.1598,0.0477,0.9469,22.9
0.1633,0.0925,0.8093,22.95
0.169,0.1287,0.6552,23
0.1762,0.158,0.4326,23.05
0.1848,0.1719,0.1401,23.1
0.1934,0.172,-0.0998,23.15
0.202,0.1619,-0.3748,23.2
0.2096,0.1346,-0.6338,23.25
0.2155,0.0986,-0.7891,23.3
0.2195,0.0556,-0.9108,23.35
0.221,0.0075,-0.9464,23.4
0.2202,-0.039,-0.913,23.45
0.2171,-0.0838,-0.8283,23.5
0.2118,-0.1218,-0.6567,23.55
0.2049,-0.1495,-0.4507,23.6
0.1969,-0.1669,-0.1927,23.65
0.1883,-0.1688,0.1006,23.7
0.18,-0.1568,0.3594,23.75
0.1726,-0.1328,0.5837,23.8
0.1667,-0.0985,0.7564,23.85
0.1627,-0.0572,0.8597,23.9
0.161,-0.0125,0.9288,23.95
0.1615,0.0357,0.9296,24
0.1646,0.0805,0.8095,24.05
0.1695,0.1166,0.6379,24.1
0.1762,0.1443,0.4321,24.15
0.184,0.1598,0.1918,24.2
0.1922,0.1634,-0.0657,24.25
0.2003,0.1533,-0.3239,24.3
0.2075,0.131,-0.5303,24.35
0.2134,0.1002,-0.7199,24.4
0.2176,0.0591,-0.8762,24.45
0.2193,0.0126,-0.9292,24.5
0.2188,-0.0339,-0.896,24.55
0.2159,-0.077,-0.7934,24.6
0.2111,-0.1132,-0.6567,24.65
0.2046,-0.1426,-0.4507,24.7
0.1969,-0.1583,-0.1921,24.75
0.1888,-0.1618,0.0491,24.8
0.1807,-0.1534,0.2905,24.85
0.1734,-0.1328,0.5145,24.9
0.1674,-0.1019,0.7215,24.95
0.1632,-0.0607,0.8771,25
0.1613,-0.0142,0.9292,25.05
0.1618,0.0323,0.8949,25.1
0.1646,0.0753,0.8094,25.15
0.1694,0.1132,0.6549,25.2
0.1759,0.1408,0.4663,25.25
0.1834,0.1598,0.2437,25.3
0.1919,0.1652,-0.0486,25.35
0.2,0.155,-0.3067,25.4
0.2074,0.1345,-0.5131,25.45
0.2134,0.1037,-0.7029,25.5
0.2177,0.0642,-0.8415,25.55
0.2198,0.0195,-0.9113,25.6
0.2197,-0.0269,-0.9301,25.65
0.2171,-0.0735,-0.8457,25.7
0.2123,-0.1115,-0.6563,25.75
0.206,-0.1391,-0.4845,25.8
0.1984,-0.16,-0.2788,25.85
0.19,-0.167,0.0145,25.9
0.1817,-0.1585,0.2733,25.95
0.1741,-0.1397,0.4973,26
0.1677,-0.1088,0.7046,26.05
0.1633,-0.0692,0.8254,26.1
0.1608,-0.0262,0.8944,26.15
0.1606,0.0202,0.912,26.2
0.1628,0.065,0.8435,26.25
0.1671,0.1046,0.7237,26.3
0.1733,0.1373,0.5353,26.35
0.1809,0.1581,0.2777,26.4
0.1891,0.1651,0.0197,26.45
0.1974,0.1601,-0.2032,26.5
0.2051,0.1448,-0.444,26.55
0.2118,0.1157,-0.6685,26.6
0.2167,0.0779,-0.8066,26.65
0.2196,0.035,-0.9112,26.7
0.2202,-0.0132,-0.9303,26.75
0.2183,-0.058,-0.8275,26.8
0.2144,-0.0959,-0.7075,26.85
0.2087,-0.1288,-0.571,26.9
0.2015,-0.153,-0.3301,26.95
0.1934,-0.1618,-0.0713,27
0.1853,-0.1602,0.1523,27.05
0.1774,-0.1465,0.411,27.1
0.1707,-0.1191,0.6357,27.15
0.1655,-0.083,0.7737,27.2
0.1624,-0.0417,0.8599,27.25
0.1613,0.003,0.8946,27.3
0.1627,0.0478,0.8606,27.35
0.1661,0.0891,0.7583,27.4
0.1716,0.1236,0.5521,27.45
0.1785,0.1443,0.3285,27.5
0.186,0.1564,0.1403,27.55
0.1941,0.1583,-0.117,27.6
0.2018,0.1447,-0.3929,27.65
0.2086,0.119,-0.5823,27.7
0.2138,0.0865,-0.7376,27.75
0.2172,0.0453,-0.8595,27.8
0.2183,5.43E-04,-0.8779,27.85
0.2173,-0.0425,-0.8272,27.9
0.214,-0.0822,-0.7248,27.95
0.2091,-0.115,-0.5704,28
0.2025,-0.1392,-0.3816,28.05
0.1951,-0.1531,-0.1406,28.1
0.1872,-0.1533,0.118,28.15
0.1798,-0.1413,0.3595,28.2
0.1731,-0.1173,0.5668,28.25
0.1681,-0.0847,0.7047,28.3
0.1646,-0.0469,0.8082,28.35
0.1634,-0.0039,0.8603,28.4
0.1642,0.0392,0.8263,28.45
0.1673,0.0788,0.7235,28.5
0.1721,0.1115,0.5692,28.55
0.1785,0.1357,0.3634,28.6
0.1857,0.1479,0.1228,28.65
0.1932,0.148,-0.1007,28.7
0.2005,0.1378,-0.3066,28.75
0.207,0.1173,-0.5306,28.8
0.2122,0.0847,-0.7037,28.85
0.2155,0.047,-0.7903,28.9
0.2169,0.0057,-0.8432,28.95
0.2161,-0.0374,-0.8098,29
0.2132,-0.0753,-0.7245,29.05
0.2085,-0.1098,-0.588,29.1
0.2022,-0.1341,-0.364,29.15
0.1951,-0.1462,-0.1574,29.2
0.1876,-0.1498,0.0662,29.25
0.1802,-0.1396,0.3251,29.3
0.1736,-0.1173,0.5322,29.35
0.1684,-0.0864,0.6875,29.4
0.165,-0.0486,0.7911,29.45
0.1636,-0.0073,0.8256,29.5
0.1642,0.034,0.826,29.55
0.167,0.0753,0.758,29.6
0.1718,0.1098,0.5864,29.65
0.1779,0.134,0.3804,29.7
0.1852,0.1478,0.1571,29.75
0.1927,0.1497,-0.0663,29.8
0.2001,0.1412,-0.2722,29.85
0.2068,0.1225,-0.496,29.9
0.2124,0.0916,-0.6862,29.95
0.216,0.0538,-0.79,30
0.2178,0.0126,-0.8602,30.05
0.2173,-0.0322,-0.8443,30.1
0.2145,-0.0718,-0.7415,30.15
0.2101,-0.1063,-0.6222,30.2
0.2039,-0.1341,-0.416,30.25
0.1967,-0.1479,-0.1745,30.3
0.1891,-0.1515,0.0321,30.35
0.1815,-0.1447,0.256,30.4
0.1746,-0.1259,0.4804,30.45
0.1689,-0.0967,0.6529,30.5
0.165,-0.0606,0.7735,30.55
0.1629,-0.0193,0.8601,30.6
0.163,0.0254,0.8608,30.65
0.1654,0.0667,0.7577,30.7
0.1697,0.1012,0.6204,30.75
0.1755,0.1288,0.4489,30.8
0.1826,0.1461,0.2432,30.85
0.1901,0.1531,0.0027,30.9
0.1979,0.1463,-0.2381,30.95
0.2048,0.1293,-0.4444,31
0.2108,0.1019,-0.6344,31.05
0.215,0.0658,-0.7553,31.1
0.2174,0.0264,-0.8427,31.15
0.2176,-0.0184,-0.844,31.2
0.2156,-0.058,-0.7587,31.25
0.2118,-0.0943,-0.6392,31.3
0.2061,-0.122,-0.4499,31.35
0.1996,-0.1393,-0.2606,31.4
0.1922,-0.148,-0.0541,31.45
0.1848,-0.1447,0.1699,31.5
0.1777,-0.131,0.3941,31.55
0.1717,-0.1053,0.5839,31.6
0.1672,-0.0726,0.722,31.65
0.1644,-0.0331,0.8086,31.7
0.1639,0.0082,0.8086,31.75
0.1653,0.0478,0.7747,31.8
0.1687,0.0857,0.672,31.85
0.1738,0.115,0.5003,31.9
0.1802,0.1357,0.3119,31.95
0.1874,0.1462,0.0714,32
0.1948,0.1429,-0.1696,32.05
0.2017,0.1292,-0.3585,32.1
0.2077,0.107,-0.5481,32.15
0.2124,0.0744,-0.704,32.2
0.2152,0.0366,-0.7734,32.25
0.216,-0.0029,-0.8087,32.3
0.2149,-0.0443,-0.7932,32.35
0.2116,-0.0822,-0.6563,32.4
0.2066,-0.1099,-0.4666,32.45
0.2006,-0.1289,-0.3122,32.5
0.1938,-0.1411,-0.1061,32.55
0.1865,-0.1395,0.153,32.6
0.1798,-0.1258,0.3426,32.65
0.1739,-0.1053,0.5147,32.7
0.1693,-0.0743,0.6877,32.75
0.1665,-0.0365,0.7568,32.8
0.1656,0.0013,0.7739,32.85
0.1666,0.0409,0.7749,32.9
0.1697,0.0788,0.6551,32.95
0.1745,0.1064,0.4656,33
0.1804,0.1254,0.3113,33.05
0.1871,0.1375,0.1232,33.1
0.1941,0.1377,-0.1349,33.15
0.2008,0.1241,-0.359,33.2
0.2065,0.1018,-0.5141,33.25
0.211,0.0726,-0.635,33.3
0.2138,0.0383,-0.7214,33.35
0.2148,5.13E-04,-0.7915,33.4
0.2138,-0.0408,-0.776,33.45
0.2108,-0.0771,-0.6387,33.5
0.2061,-0.1047,-0.484,33.55
0.2003,-0.1255,-0.3123,33.6
0.1936,-0.1359,-0.1056,33.65
0.1867,-0.136,0.101,33.7
0.18,-0.1258,0.3252,33.75
0.1741,-0.1035,0.5152,33.8
0.1696,-0.0743,0.6359,33.85
0.1667,-0.0399,0.7221,33.9
0.1656,-0.0021,0.774,33.95
0.1665,0.0375,0.7747,34
0.1694,0.0754,0.6721,34.05
0.174,0.1047,0.5002,34.1
0.1798,0.1254,0.3285,34.15
0.1865,0.1375,0.14,34.2
0.1936,0.1394,-0.0833,34.25
0.2005,0.1292,-0.307,34.3
0.2065,0.1087,-0.4967,34.35
0.2113,0.0795,-0.6347,34.4
0.2145,0.0452,-0.7385,34.45
0.2159,0.0057,-0.8091,34.5
0.215,-0.0357,-0.7581,34.55
0.2123,-0.0701,-0.6725,34.6
0.208,-0.1029,-0.5705,34.65
0.202,-0.1272,-0.3641,34.7
0.1953,-0.1394,-0.14,34.75
0.1881,-0.1412,0.0667,34.8
0.1812,-0.1327,0.2734,34.85
0.1748,-0.1139,0.4805,34.9
0.1698,-0.0846,0.636,34.95
0.1663,-0.0503,0.7222,35
0.1648,-0.0124,0.7739,35.05
0.1651,0.0271,0.7918,35.1
0.1675,0.0668,0.7063,35.15
0.1718,0.0978,0.5515,35.2
0.1773,0.1219,0.3974,35.25
0.184,0.1375,0.1915,35.3
0.191,0.1411,-0.032,35.35
0.1981,0.1343,-0.2381,35.4
0.2044,0.1173,-0.4449,35.45
0.2098,0.0898,-0.6003,35.5
0.2134,0.0572,-0.7038,35.55
0.2155,0.0194,-0.7913,35.6
0.2154,-0.0219,-0.7754,35.65
0.2133,-0.0581,-0.6724,35.7
